clip_key,yolo_n_keyframes,yolo_n_detections,yolo_traffic_light_present,yolo_bus_present,yolo_car_present,yolo_person_present,yolo_stop_sign_present,yolo_bicycle_present,yolo_truck_present,yolo_car_max_conf,yolo_person_max_conf,yolo_truck_max_conf,yolo_traffic_light_max_conf,yolo_stop_sign_max_conf,yolo_bus_max_conf,yolo_bicycle_max_conf
ACURA_MDX_3G_MMR/ad9840558640c31d/0000000a--81f047700a/2,5,14,False,False,True,False,False,False,True,0.8531,,0.5374,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/0000000a--81f047700a/5,5,5,False,False,True,False,False,False,False,0.8928,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/0000000a--81f047700a/4,5,4,False,False,True,False,False,False,False,0.508,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/0000000a--81f047700a/6,5,4,False,False,True,False,False,False,False,0.8568,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/0000000a--81f047700a/7,5,22,True,False,True,False,False,False,True,0.8316,,0.454,0.6187,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/0000000a--a77c070b0c/1,5,12,False,True,True,False,False,False,True,0.8919,,0.4632,,,0.3547,
ACURA_MDX_3G_MMR/ad9840558640c31d/0000000a--81f047700a/12,5,21,False,False,True,True,False,False,False,0.8175,0.7702,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/0000000a--81f047700a/3,5,5,False,False,True,False,False,False,True,0.8233,,0.6037,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/0000000a--a77c070b0c/2,5,8,False,True,True,False,False,False,False,0.683,,,,,0.3718,
ACURA_MDX_3G_MMR/ad9840558640c31d/0000000a--a77c070b0c/7,5,20,True,False,True,False,False,False,True,0.7895,,0.6497,0.5164,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/0000000a--bc4333f746/11,5,30,False,False,True,False,False,False,False,0.7881,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/0000000a--bc4333f746/13,5,32,False,False,True,False,False,False,True,0.8988,,0.687,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/0000000a--bc4333f746/15,5,2,False,False,True,False,False,False,False,0.4166,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/0000000a--bc4333f746/16,5,20,False,False,True,False,False,False,True,0.7801,,0.4988,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/0000000a--bc4333f746/19,5,9,False,False,True,False,False,False,False,0.8001,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/0000000a--bc4333f746/10,5,30,False,False,True,False,False,False,True,0.8754,,0.8517,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/0000000a--bc4333f746/2,5,20,True,False,True,False,False,False,True,0.8739,,0.7243,0.635,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/0000000a--bc4333f746/21,5,1,False,False,True,False,False,False,False,0.4461,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/0000000a--bc4333f746/4,5,21,True,False,True,False,False,False,False,0.8478,,,0.7702,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/0000000a--bc4333f746/5,5,2,False,False,True,False,False,False,False,0.6494,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/0000000a--bc4333f746/8,5,9,False,False,True,False,False,False,False,0.7317,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/0000000b--73d68aacb9/0,5,4,False,False,True,False,False,False,True,0.8143,,0.4301,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/0000000a--bc4333f746/9,5,18,False,False,True,False,False,False,False,0.8954,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/0000000b--73d68aacb9/2,5,25,False,True,True,False,False,False,True,0.8596,,0.7647,,,0.6321,
ACURA_MDX_3G_MMR/ad9840558640c31d/0000000b--73d68aacb9/1,5,17,False,True,True,False,False,False,True,0.7414,,0.4578,,,0.6004,
ACURA_MDX_3G_MMR/ad9840558640c31d/0000000b--73d68aacb9/3,5,9,True,True,True,False,False,False,True,0.538,,0.7072,0.4051,,0.5014,
ACURA_MDX_3G_MMR/ad9840558640c31d/0000000b--73d68aacb9/4,5,18,False,True,True,False,True,False,True,0.6519,,0.6504,,0.6732,0.7131,
ACURA_MDX_3G_MMR/ad9840558640c31d/0000000b--ffc52787da/0,5,0,False,False,False,False,False,False,False,,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/0000000b--ffc52787da/2,5,3,False,False,False,False,True,False,False,,,,,0.4982,,
ACURA_MDX_3G_MMR/ad9840558640c31d/0000000b--ffc52787da/1,5,1,False,False,True,False,False,False,False,0.3746,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/0000000c--873143e02d/1,5,0,False,False,False,False,False,False,False,,,,,,,
